fate,family,roles,side,lat,lon,magnitude_m,grade_pct,cap_pct,distance_m,way_a,way_b
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27267065482,51.60216416334,0.1879,5.3961,,3.482,-10531,-10531
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27267065482,51.60216416334,0.4163,12.491,,3.333,-10531,-10531
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.3613,4.9893,,7.241,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27267065482,51.60216416334,0.6447,20.2457,,3.184,-10531,-10531
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.5801,7.7522,,7.483,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27267065482,51.60216416334,0.8731,28.7599,,3.036,-10531,-10531
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.7989,10.3421,,7.725,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.8969,11.4542,,7.83,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.8546,10.7294,,7.965,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.7749,9.6023,,8.07,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.6727,8.1986,,8.205,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.5929,7.1358,,8.309,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.4907,5.8112,,8.444,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.4109,4.8074,,8.548,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27268376450,51.60220349872,0.3087,3.5554,,8.683,-10530,-10530
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27171596569,51.60316000011,0.3865,5.0985,,7.581,-10563,-10563
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27171596569,51.60316000011,0.2722,3.5657,,7.633,-10563,-10563
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27174148304,51.60323356388,0.2534,4.9472,,5.123,-10544,-10544
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27174148304,51.60323356388,0.485,13.0913,,3.705,-10544,-10544
GONE_pre_only,transverse,service_junction|service_junction,groundside,25.27197212793,51.60376611455,0.43,3.8684,,11.116,-10546,-10546
GONE_pre_only,within_shape,service_junction|service_junction,groundside,25.27153361531,51.60289951988,1.3,11.4941,,11.31,-10520,-10520
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27155102027,51.60294064601,1.86,9.446,,19.691,-11486,-11486
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27155480857,51.60295306484,1.87,8.3751,,22.328,-11486,-11486
GONE_pre_only,within_shape,service_junction|service_junction,groundside,25.27150519262,51.60291238470,1.36,10.3193,,13.179,-10520,-10520
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27161110582,51.60299112902,0.99,9.4545,,10.471,-11486,-11486
GONE_pre_only,within_shape,service_junction|service_junction,groundside,25.27152401232,51.60296458905,1.41,20.5266,,6.869,-10520,-10520
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27156738557,51.60299190711,1.36,15.5396,,8.752,-11486,-11486
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27157117388,51.60300432594,1.37,12.0316,,11.387,-11486,-11486
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27160237582,51.60303830902,0.75,16.1067,,4.656,-11486,-11486
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27160616413,51.60305072785,0.76,19.6954,,3.859,-11486,-11486
GONE_pre_only,within_shape,service_road|service_road,groundside,25.25399975763,51.60323971690,1.5,9.0841,,16.512,-10082,-10082
GONE_pre_only,within_shape,junction|junction,airside,25.25422072500,51.60348784000,1.3,6.6217,,19.632,-10083,-10083
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27611562936,51.60411257525,0.3,8.9312,,3.359,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27610943463,51.60411531521,0.3,16.0118,,1.874,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27609301626,51.60412257712,0.3,14.5399,,2.063,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27585615469,51.60421104418,0.3,9.528,,3.149,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27585632585,51.60421096966,0.3,9.0066,,3.331,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27587707295,51.60421808976,0.3,12.4519,,2.409,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27586247239,51.60422454765,0.3,27.4788,,1.092,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27585424826,51.60422818521,0.3,9.7918,,3.064,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27523938281,51.60450014280,0.3,59.9989,,0.5,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27498185069,51.60459787325,0.3,9.3784,,3.199,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27500269937,51.60460482888,0.3,10.9227,,2.747,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27498688095,51.60461182542,0.3,28.668,,1.046,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27484047849,51.60466042077,0.3,9.1029,,3.296,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27483099794,51.60466461665,0.3,9.4709,,3.168,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27485307669,51.60467100761,0.3,9.582,,3.131,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27484564596,51.60467429426,0.3,22.2373,,1.349,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27483029009,51.60468108622,0.3,12.8588,,2.333,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27475049951,51.60471637793,0.3,13.2011,,2.273,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27473465252,51.60472338712,0.3,19.6419,,1.527,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27472767569,51.60472647301,0.3,9.3741,,3.2,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27461221380,51.60476141445,0.3,9.1164,,3.291,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27462435363,51.60477217279,0.3,9.9189,,3.025,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27461641615,51.60477568356,0.3,26.7565,,1.121,-11492,-11492
GONE_pre_only,within_shape,groundside_pavement|groundside_pavement,groundside,25.27460152466,51.60478227014,0.3,12.2471,,2.45,-11492,-11492
GONE_pre_only,within_shape,service_road|service_road,groundside,25.25568826025,51.60799312296,3.88,14.0855,,27.546,-10085,-10085
GONE_pre_only,within_shape,service_road|service_road,groundside,25.25572046485,51.60810061126,3.68,10.0009,,36.797,-10085,-10085
GONE_pre_only,within_shape,apron|apron,airside,25.27566917076,51.61356604345,0.47,1.2301,,38.208,-10271,-10271
GONE_pre_only,within_shape,apron|apron,airside,25.27577542444,51.61365624108,0.66,1.5487,,42.615,-10270,-10270
GONE_pre_only,within_shape,apron|apron,airside,25.27589319357,51.61371773393,0.66,1.5024,,43.93,-10270,-10270
GONE_pre_only,within_shape,apron|apron,airside,25.27592149682,51.61371838965,0.59,1.2123,,48.667,-10270,-10270
GONE_pre_only,within_shape,apron|apron,airside,25.27588623163,51.61373044974,0.66,1.6073,,41.063,-10270,-10270
GONE_pre_only,within_shape,apron|apron,airside,25.27565201500,51.61384071500,0.17,2.3891,,7.116,-10273,-10273
NEW_frozen_only,lateral_contiguity,service_junction|service_junction,groundside,25.28499214923,51.60688233763,0.07,8.0,,0.0,-10528,-10528
NEW_frozen_only,lateral_contiguity,service_junction|service_junction,groundside,25.28484626283,51.60693210809,0.07,8.0,,0.0,-10515,-10515
NEW_frozen_only,transverse,service_junction|service_junction,groundside,25.27266996886,51.60216427999,0.1871,5.3323,,3.508,-10667,-10667
NEW_frozen_only,transverse,service_junction|service_junction,groundside,25.27266996886,51.60216427999,0.4136,12.0905,,3.421,-10667,-10667
NEW_frozen_only,transverse,service_junction|service_junction,groundside,25.27268358464,51.60220432377,0.2668,3.5192,,7.58,-10666,-10666
NEW_frozen_only,transverse,service_junction|service_junction,groundside,25.27268358464,51.60220432377,0.4074,5.2913,,7.699,-10666,-10666
