pre_way,pre_role,pre_dm_rows,pre_nodes,frozen_role_groundside_pavement,frozen_role_service_junction,frozen_role_service_road,frozen_role_other,absent_from_frozen
-11475,groundside_pavement,242,406,153,198,0,0,55
-11477,groundside_pavement,238,519,275,191,0,0,53
-11488,groundside_pavement,183,275,241,26,1,0,7
-11489,groundside_pavement,145,212,163,30,0,0,19
-11485,groundside_pavement,104,186,184,2,0,0,0
-11482,groundside_pavement,76,78,0,31,0,0,47
-11467,groundside_pavement,71,145,79,51,0,1,14
-11470,groundside_pavement,69,127,112,12,3,0,0
-11473,groundside_pavement,67,72,0,13,0,0,59
-11486,groundside_pavement,64,108,96,9,0,0,3
-11474,groundside_pavement,56,68,0,21,0,0,47
-11484,groundside_pavement,56,141,0,88,0,0,53
-11476,groundside_pavement,50,61,10,36,0,0,15
-11492,groundside_pavement,48,239,196,3,0,0,40
-11495,groundside_pavement,47,59,40,17,0,0,2
-11490,groundside_pavement,40,56,55,0,0,0,1
-11494,groundside_pavement,40,64,64,0,0,0,0
-11472,groundside_pavement,34,48,5,17,0,0,26
-11491,groundside_pavement,31,92,0,53,0,0,39
-11487,groundside_pavement,29,50,42,8,0,0,0
-10635,groundside_pavement,27,75,75,0,0,0,0
-10384,groundside_pavement,22,53,53,0,0,0,0
-11464,groundside_pavement,21,25,0,23,0,0,2
-10685,groundside_pavement,18,30,0,7,12,0,11
-11497,groundside_pavement,17,23,23,0,0,0,0
-11481,groundside_pavement,16,34,21,13,0,0,0
-10105,groundside_pavement,15,20,20,0,0,0,0
-10259,groundside_pavement,15,23,0,18,0,0,5
-10118,groundside_pavement,13,26,26,0,0,0,0
-11468,groundside_pavement,12,18,0,18,0,0,0
-11471,groundside_pavement,12,35,2,30,0,0,3
-11479,groundside_pavement,11,25,8,14,0,0,3
-10194,groundside_pavement,10,19,0,19,0,0,0
-10356,groundside_pavement,10,18,18,0,0,0,0
-11493,groundside_pavement,10,21,21,0,0,0,0
-10197,groundside_pavement,9,16,16,0,0,0,0
-11498,groundside_pavement,8,14,14,0,0,0,0
-10552,groundside_pavement,7,17,17,0,0,0,0
-10252,groundside_pavement,7,9,0,9,0,0,0
-10401,groundside_pavement,7,10,0,9,0,0,1
-11463,groundside_pavement,7,14,11,0,0,0,3
-11466,groundside_pavement,7,12,5,7,0,0,0
-10190,groundside_pavement,6,14,0,14,0,0,0
-10282,groundside_pavement,6,8,8,0,0,0,0
-10286,groundside_pavement,6,8,0,8,0,0,0
-10411,groundside_pavement,6,12,0,12,0,0,0
-10494,groundside_pavement,6,13,13,0,0,0,0
-11483,groundside_pavement,6,23,11,6,0,0,6
-10096,groundside_pavement,5,9,9,0,0,0,0
-10109,groundside_pavement,5,10,0,10,0,0,0
-10121,groundside_pavement,5,9,0,9,0,0,0
-10134,groundside_pavement,5,11,9,0,0,0,2
-10215,groundside_pavement,5,7,0,4,0,0,3
-10305,groundside_pavement,5,13,0,13,0,0,0
-10404,groundside_pavement,5,10,10,0,0,0,0
-10407,groundside_pavement,5,7,0,7,0,0,0
-10466,groundside_pavement,5,11,11,0,0,0,0
-10492,groundside_pavement,5,8,8,0,0,0,0
-10615,groundside_pavement,5,10,9,0,0,0,1
-10178,groundside_pavement,4,7,7,0,0,0,0
-10210,groundside_pavement,4,9,0,9,0,0,0
-10378,groundside_pavement,4,6,4,0,0,0,2
-10662,groundside_pavement,4,14,1,11,0,0,2
-10682,groundside_pavement,4,16,16,0,0,0,0
-11469,groundside_pavement,4,9,9,0,0,0,0
-10171,groundside_pavement,3,5,5,0,0,0,0
-10280,groundside_pavement,3,6,6,0,0,0,0
-10339,groundside_pavement,3,7,7,0,0,0,0
-10515,groundside_pavement,3,6,6,0,0,0,0
-10533,groundside_pavement,3,6,0,6,0,0,0
-11478,groundside_pavement,3,6,0,2,0,0,4
-11499,groundside_pavement,3,5,2,3,0,0,0
-11465,groundside_pavement,2,48,32,3,13,0,0
-10142,groundside_pavement,2,6,6,0,0,0,0
-10219,groundside_pavement,2,6,0,5,0,0,1
-10268,groundside_pavement,2,6,0,0,0,0,6
-10585,groundside_pavement,2,4,4,0,0,0,0
-10587,groundside_pavement,2,13,13,0,0,0,0
-11480,groundside_pavement,2,6,0,3,0,0,3
-11496,groundside_pavement,1,14,8,0,0,0,6
-14658,groundside_pavement,1,5,5,0,0,0,0
-10068,groundside_pavement,1,8,8,0,0,0,0
-10151,groundside_pavement,1,12,0,11,0,0,1
-10184,groundside_pavement,1,5,0,4,0,0,1
-10684,groundside_pavement,1,6,4,0,0,0,2
